,Fecha,Criptomoneda,Precio,Variación 24h,Capitalización de mercado,Volumen
58,2020-10-07,Bitcoin,10668.011010796896,0.5850788840734422,197575523784.58,17222472599.61
59,2020-10-08,Bitcoin,10888.666546835811,2.0683849671283117,201518932273.68,19767968267.46
60,2020-10-09,Bitcoin,11063.2523862591,1.6033720811665653,204809205392.18,19254933802.11
61,2020-10-10,Bitcoin,11286.541942043945,2.018299393243317,209268690952.59,19496631246.27
62,2020-10-11,Bitcoin,11377.814876756858,0.8086882162986475,210799352797.14,16270141989.73
63,2020-10-12,Bitcoin,11543.183760771468,1.4534327180206974,213726225963.21,20957733313.86
64,2020-10-13,Bitcoin,11426.105544220427,-1.0142627803338078,211576163357.67,19556025069.40
65,2020-10-14,Bitcoin,11435.57243757972,0.08285319370326949,211756280001.14,20441486195.02
66,2020-10-15,Bitcoin,11495.584995733887,0.5247884046184925,212878404236.87,20511481706.66
67,2020-10-16,Bitcoin,11319.097785677623,-1.5352607990090084,209993205751.02,20436703034.24
68,2020-10-17,Bitcoin,11365.814131026178,0.4127214574262794,210421523306.69,15650920221.10
69,2020-10-18,Bitcoin,11495.899975689872,1.1445360901036317,212752326976.49,15569792414.42
70,2020-10-19,Bitcoin,11752.146863919786,2.2290285125287745,217391050812.66,18121468516.27
71,2020-10-20,Bitcoin,11908.708923246453,1.3321996494727983,220404884318.98,21431994055.83
72,2020-10-21,Bitcoin,12806.435726727443,7.538405794171177,236717318526.16,29314287990.07
73,2020-10-22,Bitcoin,12951.044060038126,1.1291848598348198,240257678153.84,25070864646.76
74,2020-10-23,Bitcoin,12928.072296348406,-0.17737383629634618,239590543523.72,21379873277.59
75,2020-10-24,Bitcoin,13106.04601925958,1.376645479940919,242785151288.08,19302801174.76
76,2020-10-25,Bitcoin,13021.410842124118,-0.6457720124825483,241326618198.73,18998745579.32
77,2020-10-26,Bitcoin,13060.79221208406,0.30243550746853476,242141178089.61,21507619985.69
78,2020-10-27,Bitcoin,13655.185415883081,4.550973586801876,253004886697.36,23918511528.07
79,2020-10-28,Bitcoin,13282.999348292438,-2.7256024451907668,245661872194.44,26825856788.11
80,2020-10-29,Bitcoin,13441.878496031612,1.1961089778988576,249545455596.33,22860841953.83
81,2020-10-30,Bitcoin,13537.174271524887,0.7089468597816229,250845436637.92,23482756915.11
82,2020-10-31,Bitcoin,13778.637638352931,1.7837058309573273,255329261020.62,22691200479.41
83,2020-11-01,Bitcoin,13720.361465146289,-0.42294582916115875,254260250527.50,19771957707.94
84,2020-11-02,Bitcoin,13558.361795524168,-1.180724502292796,251266177558.48,22630851230.49
85,2020-11-03,Bitcoin,13989.976358180447,3.1833828390592345,259277183164.55,22602862338.46
86,2020-11-04,Bitcoin,14101.716050813722,0.7987125193956279,261103557610.75,25857225138.47
87,2020-11-05,Bitcoin,15553.331701081443,10.293893629945527,288118007577.43,36313255719.02
88,2020-11-06,Bitcoin,15548.312145063144,-0.0322731882452465,288563189165.39,34523587704.57
89,2020-11-07,Bitcoin,14818.45891122149,-4.694099443285193,274687727889.98,30369855794.73
90,2020-11-08,Bitcoin,15496.316149147417,4.5744111583196245,287116472704.39,24082570971.89
91,2020-11-09,Bitcoin,15335.342198178862,-1.038788505727617,284292217075.77,29501754042.78
92,2020-11-10,Bitcoin,15278.70965979927,-0.3692942592850468,283242342238.51,21918753732.67
93,2020-11-11,Bitcoin,15686.905986213233,2.6716675393603007,291215273242.19,23990613793.27
94,2020-11-12,Bitcoin,16265.149252483357,3.686152430430356,301529322417.46,28001128791.21
95,2020-11-13,Bitcoin,16326.81487507908,0.37912730856932697,302672502422.09,24826304419.56
96,2020-11-14,Bitcoin,16095.561510630652,-1.4164021961283413,298290647831.24,22096608221.17
97,2020-11-15,Bitcoin,15984.673784156614,-0.6889335696726118,296277008765.19,19184714602.51
98,2020-11-16,Bitcoin,16714.40386322188,4.565185933219018,309857769717.03,24606359052.38
99,2020-11-17,Bitcoin,17651.82042768171,5.608435527410616,327448838765.30,31572384445.72
100,2020-11-18,Bitcoin,17829.934958345126,1.0090434093930511,330792375072.03,40089857655.31
101,2020-11-19,Bitcoin,17819.75743096837,-0.0570811245275582,330526082018.53,30586797551.71
